,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,ROAD_IMPACT_FEE,MF_RT_BASED_FEE,DIFF_MF_vs_RF,YEAR
59,2,In,0.0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,261515.55000000002,450162.36153,0.0,2018
60,2,In,0.0,881-00,Pharmacy/Drugstore w/ Drive-Thru,"STORES, ONE STORY",Commercial/Retail,sq. ft.,0.0,218216.78362499998,0.0,2018
61,2,In,0.0,890-00,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,0.0,60962.57787,0.0,2018
62,2,In,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,35629.65,-26560.857472999996,0.0,2018
63,2,In,0.0,912-00,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,-283632.937232,8947.898,2018
64,2,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,95765.68999999999,1146417.05236485,-8947.898,2018
65,2,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,100572.55,468432.07999999996,8947.898,2018
66,2,In,0.0,934-00,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,-290237.45423399995,-8947.898,2018
67,2,In,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,156199.68004799998,8947.898,2018
68,2,In,0.0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,0.0,-70871.23157999999,-8947.898,2018
69,2,In,1.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,975.25,1172.4995000000001,8947.898,2018
70,2,In,1.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,39191.35,-17895.796,-8947.898,2018
71,2,In,1.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,414599.93,471207.6,283.6980000000003,2018
72,2,In,1.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,9638.32,21913.992,0.0,2018
73,2,In,1.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1267913.34,1476034.152,4615.798,2018
74,2,Out,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,1773.69,69176.330329,-4473.949,2018
75,2,Out,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,1003897.13,353954.6180598,-8806.048999999999,2018
76,2,Out,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,200146.33,468866.0451679999,8947.898,2018
77,2,Out,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,2292494.32,21832.87112,8778.008,2018
78,2,Out,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,231351.32,570412.50672,-10893.297999999999,2018
79,2,Out,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1429669.48,3671492.55,10956.996,2018
80,2,Out,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,74267.19,378016.36199999996,-24617.968,2018
81,2,Out,0.0,240-00,Mobile Home,MOBILE HOME,Single-family,unit,0.0,-4664.766,25131.072,2018
82,2,Out,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,24488.73,2501752.8,-10893.297999999999,2018
83,2,Out,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,419999.25599999994,-10956.998,2018
84,2,Out,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,-340695.08,-10893.297999999999,2018
85,2,Out,0.0,491-00,Racquet Club,OUTDOOR RECREATIONAL,Other,court,0.0,131005.3325,-8986.037999999999,2018
86,2,Out,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,4795.9,21758.29479,0.0,2018
87,2,Out,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,14414.88,18794.686,283.6980000000003,2018
88,2,Out,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,0.0,185899.91399999996,0.0,2018
89,2,Out,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,0.0,11180.93,8947.898,2018
90,2,Out,0.0,550-00,University (20 SF/St),COLLEGES,Other,student,28824.41,28824.405999999995,-8947.898,2018
91,2,Out,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,23664.530000000002,13296.032362999998,8778.008,2018
92,2,Out,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,0.0,-593.2579380000006,0.0,2018
93,2,Out,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,15632.03,568158.97372,8947.898,2018
94,2,Out,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,335505.92,-14012.285261999974,-8947.898,2018
95,2,Out,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,0.0,-28045.443696,8772.447999999999,2018
96,2,Out,0.0,710-02,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,0.0,1232425.05844,-0.002000000002226443,2018
97,2,Out,0.0,710-03,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,0.0,-8062.735785000001,283.6980000000003,2018
98,2,Out,0.0,710-06,"General Office Building [400,001-500,000]","OFFICE, MULTI-STORY",Office,sq. ft.,0.0,-3021.700739,-10893.297999999999,2018
99,2,Out,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,23152.54,438942.10115000006,-10893.297999999999,2018
100,2,Out,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,3006861.86,-454688.55900012,-8947.898,2018
101,2,Out,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,3887568.63,1186321.46899104,8947.898,2018
102,2,Out,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,25422.780000000002,44583.715517,8947.898,2018
103,2,Out,0.0,820-04,"Shopping Center/General Retail [200,001-300,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,0.0,0.0,-8947.898,2018
104,2,Out,0.0,820-05,"Shopping Center/General Retail [300,001-400,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,0.0,145402.554,-10893.297999999999,2018
105,2,Out,0.0,820-09,"Shopping Center/General Retail [800,001-1,000,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,27990.82,28907.337276,-8806.048999999999,2018
106,2,Out,0.0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,60879.36,776510.1951599999,8947.898,2018
107,2,Out,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,-256840.03840199998,-8806.048999999999,2018
108,2,Out,0.0,912-00,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,-82615.898078,8947.898,2018
109,2,Out,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,98274.76000000001,1564226.7415599998,-10893.297999999999,2018
110,2,Out,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,110554.13,742672.38,-10893.297999999999,2018
