,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,ROAD_IMPACT_FEE,MF_RT_BASED_FEE,DIFF_MF_vs_RF,YEAR
0,1,In,0.0,130-00,Industrial Park,LIGHT MANUFACTURING,Industrial/Manufacturing,sq. ft.,0.0,-12804.759282,-56819.66799999995,2017
1,1,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,199131.49000000002,-36911.16470699999,381080.68999999994,2017
2,1,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,1458866.38,-848764.0549020001,-361179.23328,2017
3,1,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,0.0,528482.1724919999,62428.43200000003,2017
4,1,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,1720596.1500000001,-268590.13800000004,66342.82840500001,2017
5,1,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,282215.83,41064.084,5648.373,2017
6,1,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,316190.36000000004,7018916.579999999,49983.33599999999,2017
7,1,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,249576.96,-47743.18199999999,-48668.543999999994,2017
8,1,In,0.0,30-00,Truck Terminals,SERVICE STATIONS,Commercial/Retail,sq. ft.,92942.85,96088.7655,21511.216000000015,2017
9,1,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1697824.27,2018694.0,151896.35517,2017
10,1,In,0.0,490-00,Tennis Courts,OUTDOOR RECREATIONAL,Other,court,0.0,232555.992,-147894.126345,2017
11,1,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,26413.960000000003,36526.1454,34654.8069,2017
12,1,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,22308.609999999997,39100.361999999994,-34654.8069,2017
13,1,In,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,0.0,230602.959,-81333.81599999999,2017
14,1,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,0.0,-2220.670289999999,37484.99451,2017
15,1,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,153362.354574,43848.95025,2017
16,1,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,254122.22,463391.9023017599,-1145596.644191,2017
17,1,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,4371.9400000000005,869023.796154,-69313.584,2017
