,Ring,SMART,PED_ORIENT,LANDUSE,SPC_LU,GN_VA_LU,UNITS,UNITS_VAL,COST,YEAR
0,1,In,0,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,125.0,0.0,2015
1,1,In,0,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,79.0,50707.56999999999,2015
2,1,In,0,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,1400.0,0.0,2015
3,1,In,0,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,2288.0,26694.47,2015
4,1,In,0,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,10397.0,0.0,2015
5,1,In,0,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,7990.0,0.0,2015
6,1,In,0,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,3160.0,0.0,2015
7,1,In,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,-1.0,1492188.93,2015
8,1,In,0,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,30000.0,32550.0,2015
9,1,In,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,92.0,78488.3,2015
10,1,In,0,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,53.0,0.0,2015
11,1,In,0,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,4498.0,34831.34,2015
12,1,In,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,47117.6,1387841.03,2015
13,1,In,0,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,205463.0,823868.64,2015
14,1,In,0,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,99996.0,0.0,2015
15,1,In,0,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,2138.0,6785.37,2015
16,1,In,0,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,42.0,36991.46,2015
17,1,In,0,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,28685.0,2474854.94,2015
18,1,In,0,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,274.0,75224.59,2015
19,1,In,0,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,3242.0,215662.18,2015
