,Ring,SMART,PED_ORIENT,LANDUSE,SPC_LU,GN_VA_LU,UNITS,UNITS_VAL,COST,YEAR
158,3,Out,0,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,17574.0,107786.79999999999,2018
159,3,Out,0,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,182835.0,1336575.3,2018
160,3,Out,0,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,-670.0,0.0,2018
161,3,Out,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,504.0,2701705.9600000004,2018
162,3,Out,0,Continuing Care Retirement Community,HOMES FOR THE AGED,Other,unit,6.0,0.0,2018
163,3,Out,0,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,21338.0,675720.5900000001,2018
164,3,Out,0,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,3397.0,0.0,2018
165,3,Out,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,129.56,998260.95,2018
166,3,Out,0,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,357.0,13404.5,2018
167,3,Out,0,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,13518.0,0.0,2018
168,3,Out,0,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,1991.0,44878.22,2018
169,3,Out,0,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,19527.0,0.0,2018
170,3,Out,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,59710.8,3402858.41,2018
171,3,Out,0,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,-129681.2,0.0,2018
172,3,Out,0,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,-59610.6,0.0,2018
173,3,Out,0,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,0.0,0.0,2018
174,3,Out,0,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,133.0,92743.83,2018
175,3,Out,0,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,5021.0,93630.45999999999,2018
176,3,Out,0,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,116.0,103316.82,2018
177,3,Out,0,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,2119.0,5887292.279999999,2018
178,3,Out,0,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,114.0,920524.46,2018
179,3,Out,0,Jr./Community College (25 SF/St),COLLEGES,Other,student,-48.17,0.0,2018
180,3,Out,0,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,137313.0,10773.32,2018
181,3,Out,0,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,44892.0,0.0,2018
182,3,Out,0,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,221164.0,512989.9,2018
