,Ring,SMART,PED_ORIENT,LANDUSE,SPC_LU,GN_VA_LU,UNITS,UNITS_VAL,COST,YEAR
0,1,In,0,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,299.0,0.0,2019
1,1,In,0,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,325.0,1391748.93,2019
2,1,In,0,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,8.0,0.0,2019
3,1,In,0,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,3717.0,31510.22,2019
4,1,In,0,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,4423.0,0.0,2019
5,1,In,0,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,-19472.0,0.0,2019
6,1,In,0,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,-19472.0,0.0,2019
7,1,In,0,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-23539.21,0.0,2019
8,1,In,0,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,4486.0,0.0,2019
9,1,In,0,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,935.0,0.0,2019
10,1,In,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,4.0,0.0,2019
11,1,In,0,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,6429.0,180626.59999999998,2019
12,1,In,0,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,7922.0,0.0,2019
13,1,In,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-14.0,243611.81,2019
14,1,In,0,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,264.0,0.0,2019
15,1,In,0,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,1525.0,104770.55,2019
16,1,In,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,120731.0,5144880.080000001,2019
17,1,In,0,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,140962.0,11463.16,2019
18,1,In,0,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,122847.0,0.0,2019
19,1,In,0,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,117282.18,22698.8,2019
20,1,In,0,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,360.0,88942.8,2019
21,1,In,0,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,4037.0,2403652.5300000003,2019
22,1,In,0,Hospital,HOSPITALS,Other,sq. ft.,80604.0,1348029.36,2019
23,1,In,0,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,3026.0,37533298.309999995,2019
