,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,0.0,130-00,Industrial Park,LIGHT MANUFACTURING,Industrial/Manufacturing,sq. ft.,-7630.865060000001,-6247.260519018379,0.0,391058.0885307271,-63810.49146927288,2017
1,1,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-21996.83031,-38261.84894135446,45673.61,384647.30019415775,374204.4701941577,2017
2,1,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-492172.2860600001,-291987.2086393137,283948.32999999996,310923.2343236108,56870.15432361083,2017
3,1,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,314943.53436,335809.97417750687,0.0,35259.33585113113,49353.015851131124,2017
4,1,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-160063.54,-295678.0894063705,2988725.8200000003,307717.84015532624,16010.240155326203,2017
5,1,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,24471.72000000002,49922.957892184204,816217.29,-33358.55362751105,-248599.61602751107,2017
6,1,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,4182851.4000000004,8299982.234303278,316190.36000000004,-677.301141801514,-24141.745141801515,2017
7,1,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,-28452.059999999998,-53287.52882480858,15567.0,-6341.894517320608,-226050.6573973206,2017
8,1,In,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,40786.200000000004,62562.832476908356,0.0,3320.5424673712478,-10029.055452628752,2017
9,1,In,0.0,30-00,Truck Terminals,SERVICE STATIONS,Commercial/Retail,sq. ft.,57263.115000000005,95434.47943888642,92942.85,-100.12277748370195,-11145.139977483701,2017
10,1,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1203020.0,2111697.6724279462,1697824.27,31275.999855850067,-94223.85350414997,2017
11,1,In,0.0,490-00,Tennis Courts,OUTDOOR RECREATIONAL,Other,court,138589.36000000002,98592.27867709304,0.0,-1302.7740223173441,-18279.297942317346,2017
12,1,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,21767.382,15849.716831854246,26413.960000000003,-31119.075357518712,-1065628.7053575185,2017
13,1,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,23301.460000000003,378443.73267846735,22308.609999999997,-3889.884419689839,-223014.02441968984,2017
14,1,In,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,137425.47000000003,116273.26202759666,0.0,0.0,0.0,2017
15,1,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-1323.3856999999998,-1146.40018016061,0.0,-3889.884419689839,-9053.22441968984,2017
16,1,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,91394.72342000001,67878.94752645645,0.0,3889.884419689839,9053.22441968984,2017
17,1,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,233747.8005408,354796.63491992006,526903.87,3889.884419689839,672.7244196898391,2017
18,1,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,517885.82482000004,892102.4004145169,0.0,0.0,0.0,2017
19,1,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,79792.84950000001,48049.947681678175,0.0,0.0,0.0,2017
20,1,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,643591.4399369,950473.1292732727,2796557.41,-3889.884419689839,-10934.92441968984,2017
21,1,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,1357857.9705600003,1432389.9818323222,6081359.5,-3889.884419689839,-10934.92441968984,2017
22,1,In,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,0.0,0.0,0.0,3889.884419689839,672.7244196898391,2017
23,1,In,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,23696.340850000004,3178.077592813881,0.0,-3889.884419689839,-10934.92441968984,2017
24,1,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,1486863.3916500001,569439.4144781522,362548.58,-3889.884419689839,-10998.624419689839,2017
25,1,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,510673.8,249920.6449061494,175705.47,-3889.884419689839,-23874.29441968984,2017
26,1,In,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,43306.317599999995,101588.61976468582,0.0,3889.884419689839,8369.374419689839,2017
27,1,In,0.0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,-52263.12,-124836.33992340797,0.0,3889.884419689839,9053.22441968984,2017
28,1,In,1.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1198661.1,2378488.950133496,0.0,-3889.884419689839,-9053.22441968984,2017
29,1,In,1.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,188419.98084000003,285995.31203733914,9439238.35,3889.884419689839,672.7244196898391,2017
30,1,In,1.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-319813.86528,-337368.2569239681,1225310.8599999999,0.0,0.0,2017
31,1,In,1.0,820-07,"Shopping Center/General Retail [500,001-600,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,6581860.71543,7400619.244667091,0.0,0.0,0.0,2017
32,2,In,0.0,130-00,Industrial Park,LIGHT MANUFACTURING,Industrial/Manufacturing,sq. ft.,-71743.04592,-69859.53014210424,0.0,3889.884419689839,672.7244196898391,2017
33,2,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-3371.1377700000003,-6974.488390448796,6297.14,0.0,0.0,2017
