,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,Assessed,0.0,M2015006629-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,10262.196,11841.673072179681,7509.4,1579.4770721796813,4332.273072179682,2016
1,1,In,Assessed,0.0,M2015011565-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-14444.875375,-13143.295753618415,0.0,1301.5796213815847,-13143.295753618415,2016
2,1,In,Assessed,0.0,M2015011565-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,16660.56,5023.5305508773745,0.0,-11637.029449122627,5023.5305508773745,2016
3,1,In,Assessed,0.0,M2015015805-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-21906.685283,-19932.74681720187,-18034.099469720728,1973.9384657981282,-1898.6473474811428,2016
4,1,In,Assessed,0.0,M2015015805-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,48593.3,14651.964106725676,40003.14946972072,-33941.33589327433,-25351.18536299505,2016
5,1,In,Assessed,0.0,M2016001562-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,8380.498000000001,9538.002884076466,7302.4400000000005,1157.5048840764648,2235.5628840764657,2016
6,1,In,Assessed,0.0,M2016003789-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,2311871.296,2500250.0441546883,2014472.6503331265,188378.74815468816,485777.3938215617,2016
7,1,In,Assessed,0.0,M2016003789-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-177382.22623800003,-165883.41109462347,-154563.81331863475,11498.81514337656,-11319.597775988717,2016
8,1,In,Assessed,0.0,M2016003789-0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,627521.422136,665993.724862742,546797.1960975117,38472.302726742,119196.52876523032,2016
9,1,In,Assessed,0.0,M2016003789-0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,567735.3097920001,368989.2651539196,494701.9568879967,-198746.04463808052,-125712.69173407712,2016
10,1,In,Assessed,0.0,M2016003863-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-11225.73172,-10214.218414240597,-9781.648946484891,1011.513305759403,-432.5694677557058,2016
11,1,In,Assessed,0.0,M2016003863-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,30969.4406,7307.531786694286,26985.51894648489,-23661.908813305716,-19677.987159790606,2016
12,1,In,Assessed,0.0,M2016004533-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-11768.736,-14791.987523610116,-11394.239779145659,-3023.2515236101153,-3397.7477444644574,2016
13,1,In,Assessed,0.0,M2016004533-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,749796.096,810891.9062123313,725936.6259291837,61095.81021233124,84955.28028314759,2016
14,1,In,Assessed,0.0,M2016004533-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,16201.372220599998,14741.520517258414,15685.823849961962,-1459.8517033415847,-944.3033327035482,2016
15,1,In,Assessed,0.0,M2016004588-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,75829.586175,17892.70650712645,0.0,-57936.87966787355,17892.70650712645,2016
16,1,In,Assessed,0.0,M2016005209-0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-35306.642238,-37837.563439872276,-34183.17251620204,-2530.9212018722756,-3654.3909236702384,2016
17,1,In,Assessed,0.0,M2016005209-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,893688.39,1092576.2096076363,865250.9124251219,198887.8196076363,227325.29718251445,2016
18,1,In,Assessed,0.0,M2016005209-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-67436.932465,-61360.41503260711,-65291.0656548784,6076.517432392895,3930.6506222712924,2016
19,1,In,Assessed,0.0,M2016005209-0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,156012.177888,101397.28475765641,151047.81574595862,-54614.8931303436,-49650.53098830221,2016
20,1,In,Assessed,0.0,M2016005448-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-17653.104,-22187.981285415175,-17091.359999999997,-4534.877285415176,-5096.621285415178,2016
21,1,In,Assessed,0.0,M2016005448-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,48593.3,14651.964106725676,47047.0,-33941.33589327433,-32395.035893274326,2016
22,1,In,Assessed,0.0,M2016005484-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-598008.2917200001,-218582.19051108917,-578978.8265044052,379426.1012089109,360396.6359933161,2016
23,1,In,Assessed,0.0,M2016005484-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-92002.77605400002,-86038.68970240036,-89075.11827584082,5964.086351599661,3036.4285734404693,2016
24,1,In,Assessed,0.0,M2016005484-0,820-03,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,2539526.9451860003,3092745.9950911556,2458715.624780246,553219.0499051553,634030.3703109096,2016
25,1,In,Assessed,0.0,M2016005839-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-8380.498000000001,-9538.002884076466,-8113.8200000000015,-1157.5048840764648,-1424.1828840764647,2016
26,1,In,Assessed,0.0,M2016005839-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,35306.208,44375.96257083035,34182.72,9069.754570830351,10193.242570830349,2016
27,1,In,Assessed,0.0,M2016006392-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-8380.498000000001,-9538.002884076466,-8113.820000000007,-1157.5048840764648,-1424.1828840764592,2016
28,1,In,Assessed,0.0,M2016006392-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,10262.196,11841.673072179681,9935.640000000007,1579.4770721796813,1906.0330721796745,2016
29,1,In,Assessed,0.0,M2016008061-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,36777.3,44961.98393447063,35607.0,8184.683934470624,9354.983934470627,2016
30,1,In,Assessed,0.0,M2016008061-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,-10262.196,-11841.673072179681,-9935.64,-1579.4770721796813,-1906.0330721796818,2016
