,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,Assessed,0.0,M2018002913-0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,30366.828,266828.99124334333,0.0,236462.16324334333,266828.99124334333,2020
1,1,In,Assessed,0.0,M2018002913-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-30366.802029919996,-24262.974588462574,0.0,6103.8274414574225,-24262.974588462574,2020
2,1,In,Assessed,0.0,M2018017001-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-26804.352,-29583.975047220232,-24334.263964626487,-2779.6230472202333,-5249.711082593745,2020
3,1,In,Assessed,0.0,M2018017001-0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,304864.182,220808.808293016,276770.18560821505,-84055.37370698398,-55961.37731519906,2020
4,1,In,Assessed,0.0,M2018017001-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,155593.41,32239.110823651263,141255.0883564115,-123354.29917634874,-109015.97753276023,2020
5,1,In,Assessed,0.0,M2019000041-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,60309.792,66563.94385624552,52940.79870967741,6254.151856245517,13623.14514656811,2020
6,1,In,Assessed,0.0,M2019000041-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-8376.36,-6951.425830767595,-7352.888709677419,1424.934169232406,401.4628789098242,2020
7,1,In,Assessed,0.0,M2019000041-1,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,20103.264,22187.981285415175,369.57,2084.717285415176,21818.411285415175,2020
8,1,In,Assessed,0.0,M2019001349-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-80413.056,-88751.9251416607,-75393.2109947478,-8338.869141660703,-13358.714146912898,2020
9,1,In,Assessed,0.0,M2019001349-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,533664.96,506807.4413827071,500350.52678241255,-26857.518617292866,6456.914600294549,2020
10,1,In,Assessed,0.0,M2019001349-0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,74660.616,54075.62652073861,69999.87135280424,-20584.989479261385,-15924.244832065633,2020
11,1,In,Assessed,0.0,M2019001349-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,42167.758502,33691.89985756126,39535.40472229853,-8475.85864443874,-5843.504864737275,2020
12,1,In,Assessed,0.0,M2019001349-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,170582.24182999998,35344.81183299633,159933.51813723237,-135237.42999700364,-124588.70630423604,2020
13,1,In,Assessed,0.0,M2019005158-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9543.668,-9538.002884076466,-8931.965693054035,5.665115923533449,-606.0371910224312,2020
14,1,In,Assessed,0.0,M2019005158-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-80413.056,-88751.9251416607,-75258.97353780884,-8338.869141660703,-13492.951603851863,2020
15,1,In,Assessed,0.0,M2019005158-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-8376.36,-6951.425830767595,-7839.47641018842,1424.934169232406,888.0505794208257,2020
16,1,In,Assessed,0.0,M2019005158-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1681044.6239999998,1596443.4403555272,1573297.909154103,-84601.18364447262,23145.53120142431,2020
17,1,In,Assessed,0.0,M2019005158-0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,68438.898,49569.32431067706,64052.30033215997,-18869.57368932294,-14482.976021482908,2020
18,1,In,Assessed,0.0,M2019005158-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,58163.62728,47763.79686610915,54435.624064934134,-10399.83041389085,-6671.8271988249835,2020
19,1,In,Assessed,0.0,M2019005158-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,149836.45382999998,31046.263723176166,140232.6720898542,-118790.19010682382,-109186.40836667804,2020
