,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,Assessed,0.0,M2015005657-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,258514.45599999995,261850.5113810653,0.0,3336.055381065351,261850.5113810653,2018
1,1,In,Assessed,0.0,M2015009122-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-130609.61588999999,-111304.93889635708,0.0,19304.676993642905,-111304.93889635708,2018
2,1,In,Assessed,0.0,M2015009122-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,249039.83999999997,70329.42771228324,0.0,-178710.41228771672,70329.42771228324,2018
3,1,In,Assessed,0.0,M2016004903-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-71058.10608,-83648.68944601521,0.0,-12590.583366015213,-83648.68944601521,2018
4,1,In,Assessed,0.0,M2016004903-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,71050.925999,60549.28592324095,0.0,-10501.640075759053,60549.28592324095,2018
5,1,In,Assessed,0.0,M2016008472-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-25822.848282,-22617.56263365757,0.0,3205.2856483424293,-22617.56263365757,2018
6,1,In,Assessed,0.0,M2016008472-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,25852.7072,7300.864400608451,0.0,-18551.84279939155,7300.864400608451,2018
7,1,In,Assessed,0.0,M2017000673-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-29647.57517802,-25967.541659312406,0.0,3680.0335187075943,-25967.541659312406,2018
8,1,In,Assessed,0.0,M2017000673-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,29647.6,8372.550918128958,0.0,-21275.04908187104,8372.550918128958,2018
9,1,In,Assessed,0.0,M2017014888-1,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-213614.112,-251463.78790137198,-200068.5256014249,-37849.675901371986,-51395.26229994709,2018
10,1,In,Assessed,0.0,M2017014888-1,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,2572008.15,2945009.9477078263,2408913.313767156,373001.79770782636,536096.6339406702,2018
11,1,In,Assessed,0.0,M2017014888-1,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-130433.35459999999,-111154.72980203002,-122162.38290506681,19278.62479796997,11007.653103036791,2018
12,1,In,Assessed,0.0,M2017014888-1,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,192284.947296,117047.43893231802,180091.87473933562,-75237.50836368198,-63044.435807017595,2018
13,1,In,Assessed,0.0,M2018004487-0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-11799.754262,-11843.730323425614,-11121.300795152492,-43.97606142561381,-722.4295282731218,2018
