,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
2408,3,Out,Collected,0.0,M2019007221-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2409,3,Out,Collected,0.0,M2019007222-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2410,3,Out,Collected,0.0,M2019007224-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2411,3,Out,Collected,0.0,M2019007225-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2412,3,Out,Collected,0.0,M2019007226-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2413,3,Out,Collected,0.0,M2019007229-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2414,3,Out,Collected,0.0,M2019007231-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2415,3,Out,Collected,0.0,M2019007232-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2416,3,Out,Collected,0.0,M2019007233-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2417,3,Out,Collected,0.0,M2019007234-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2418,3,Out,Collected,0.0,M2019007236-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2419,3,Out,Collected,0.0,M2019007238-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2420,3,Out,Collected,0.0,M2019007240-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
