,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,Assessed,0.0,M2015014299-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,4283.8870289999995,3770.2482676093964,3411.120276734803,-513.6387613906031,359.12799087459325,2017
1,1,In,Assessed,0.0,M2015014299-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,11488.75098,2622.1143469903027,9148.119723265196,-8866.636633009697,-6526.005376274893,2017
2,1,In,Assessed,0.0,M2016013836-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-36541.044339,-32159.76709542517,-34219.942242797115,4381.27724357483,2060.175147371945,2017
3,1,In,Assessed,0.0,M2016013836-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,43061.399999999994,12558.826377193436,40326.122242797115,-30502.573622806558,-27767.29586560368,2017
4,1,In,Assessed,0.0,M2016015913-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-42584.975999999995,-51771.956332635404,-39879.83253407029,-9186.980332635409,-11892.123798565117,2017
5,1,In,Assessed,0.0,M2016015913-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,178704.80999999997,211321.32449201195,167352.86866975925,32616.51449201198,43968.4558222527,2017
6,1,In,Assessed,0.0,M2016015913-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,53249.91048,46865.23743004509,49867.29386431108,-6384.6730499549085,-3002.0564342659927,2017
7,1,In,Assessed,0.0,M2017001550-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-15340.504644,-5423.612748247827,-14838.160833841279,9916.891895752175,9414.548085593451,2017
8,1,In,Assessed,0.0,M2017001550-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,57653.268462,50740.632063683435,55765.34083384128,-6912.636398316565,-5024.708770157842,2017
9,1,In,Assessed,0.0,M2017003818-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-17701.979604,-6258.508730808179,-17122.34549978471,11443.470873191822,10863.836768976533,2017
10,1,In,Assessed,0.0,M2017003818-0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,9218.144736,4000.011010760742,8916.305552693582,-5218.133725239259,-4916.294541932841,2017
11,1,In,Assessed,0.0,M2017003818-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,24747.554549999997,21780.3186774248,23937.21994709113,-2967.2358725751983,-2156.9012696663303,2017
12,1,In,Assessed,0.0,M2017004161-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-17606.612346,-6224.791777666319,-17030.060104839693,11381.820568333682,10805.268327173373,2017
13,1,In,Assessed,0.0,M2017004161-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,66169.840683,58236.06587060411,64003.02010483969,-7933.774812395895,-5766.954234235585,2017
14,1,In,Assessed,0.0,M2017004421-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,138080.31876,124901.05169800736,133558.68115036967,-13179.267061992636,-8657.629452362307,2017
15,1,In,Assessed,0.0,M2017004421-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,92675.32497,81563.5382195977,89640.53884963035,-11111.786750402302,-8077.0006300326495,2017
16,1,In,Assessed,0.0,M2017004530-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,2017
