,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_RFc_RFa,DIFF_MFc_RFc,DIFF_MFc_RFa,YEAR
0,1,In,Assessed,0.0,M2015014299-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,4283.8870289999995,4100.5869999999995,3411.120276734803,872.7667522651964,-183.300029,689.4667232651964,2017
1,1,In,Assessed,0.0,M2015014299-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,11488.75098,2768.1800000000003,9148.119723265196,2340.631256734805,-8720.57098,-6379.939723265195,2017
2,1,In,Assessed,0.0,M2016013836-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-36541.044339,-34977.517,-34219.942242797115,-2321.102096202885,1563.5273390000002,-757.5747572028849,2017
3,1,In,Assessed,0.0,M2016013836-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,43061.399999999994,13260.0,40326.122242797115,2735.277757202879,-29801.399999999994,-27066.122242797115,2017
4,1,In,Assessed,0.0,M2016015913-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-42584.975999999995,-51772.0,-39879.83253407029,-2705.1434659297083,-9187.024000000005,-11892.167465929713,2017
5,1,In,Assessed,0.0,M2016015913-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,178704.80999999997,211312.0,167352.86866975925,11351.94133024072,32607.19000000003,43959.13133024075,2017
6,1,In,Assessed,0.0,M2016015913-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,53249.91048,50971.44,49867.29386431108,3382.6166156889158,-2278.4704799999963,1104.1461356889195,2017
7,1,In,Assessed,0.0,M2017001550-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-15340.504644,-5425.068,-14838.160833841279,-502.3438101587217,9915.436644000001,9413.092833841278,2017
8,1,In,Assessed,0.0,M2017001550-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,57653.268462,55186.386,55765.34083384128,1887.9276281587227,-2466.8824620000014,-578.9548338412787,2017
9,1,In,Assessed,0.0,M2017003818-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-17701.979604,-6260.188,-17122.34549978471,-579.634104215289,11441.791604,10862.157499784711,2017
10,1,In,Assessed,0.0,M2017003818-0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,9218.144736,4000.0319999999997,8916.305552693582,301.8391833064179,-5218.112736000001,-4916.273552693583,2017
11,1,In,Assessed,0.0,M2017003818-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,24747.554549999997,23688.649999999998,23937.21994709113,810.334602908868,-1058.9045499999993,-248.56994709113133,2017
12,1,In,Assessed,0.0,M2017004161-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-17606.612346,-6226.462,-17030.060104839693,-576.5522411603088,11380.150346000002,10803.598104839693,2017
13,1,In,Assessed,0.0,M2017004161-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,66169.840683,63338.549,64003.02010483969,2166.82057816031,-2831.291683000003,-664.471104839693,2017
14,1,In,Assessed,0.0,M2017004421-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,138080.31876,131853.96,133558.68115036967,4521.637609630328,-6226.358760000003,-1704.7211503696744,2017
15,1,In,Assessed,0.0,M2017004421-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,92675.32497,88709.91,89640.53884963035,3034.786120369652,-3965.414969999998,-930.6288496303459,2017
16,1,In,Assessed,0.0,M2017004530-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2017
17,1,In,Assessed,0.0,M2017004617-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,60835.67999999999,73960.0,58843.6751550529,1992.0048449470924,13124.320000000007,15116.3248449471,2017
18,1,In,Assessed,0.0,M2017004617-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,-10609.596,-11842.0,-10262.195155052901,-347.40084494709845,-1232.4040000000005,-1579.804844947099,2017
19,1,In,Assessed,0.0,M2017005535-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-8664.198,-9538.0,-8380.50690737834,-283.6910926216606,-873.8019999999997,-1157.4930926216603,2017
20,1,In,Assessed,0.0,M2017005535-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,10609.596,11842.0,10262.20690737834,347.3890926216591,1232.4040000000005,1579.7930926216595,2017
21,1,In,Assessed,0.0,M2017005588-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-11453.153556000001,-4050.3320000000003,-11078.101055711326,-375.0525002886752,7402.821556000001,7027.769055711326,2017
22,1,In,Assessed,0.0,M2017005588-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,43043.677638,41201.914,41634.14105571133,1409.5365822886743,-1841.763638000004,-432.22705571132974,2017
23,1,In,Assessed,0.0,M2017006272-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,36501.407999999996,44376.0,35306.20518046709,1195.202819532904,7874.592000000004,9069.794819532908,2017
24,1,In,Assessed,0.0,M2017006272-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,-10609.596,-11842.0,-10262.195180467092,-347.4008195329079,-1232.4040000000005,-1579.8048195329084,2017
25,1,In,Assessed,0.0,M2017006319-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-17328.396,-19076.0,-16760.967158644093,-567.4288413559079,-1747.6039999999994,-2315.0328413559073,2017
26,1,In,Assessed,0.0,M2017006319-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,76044.59999999999,89920.0,73554.47343148358,2490.1265685164108,13875.400000000009,16365.52656851642,2017
27,1,In,Assessed,0.0,M2017006319-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,70593.20999999999,67410.0,68281.59250476879,2311.6174952311994,-3183.209999999992,-871.5925047687924,2017
28,1,In,Assessed,0.0,M2017006319-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,12151.902648,11631.944,11753.981222391742,397.9214256082578,-519.9586479999998,-122.03722239174203,2017
29,1,In,Assessed,0.0,M2017007249-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,10609.596,11842.0,0.0,10609.596,1232.4040000000005,11842.0,2017
30,1,In,Assessed,0.0,M2017007249-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-10609.59471732,-10131.183719999999,0.0,-10609.59471732,478.4109973200011,-10131.183719999999,2017
31,1,In,Assessed,0.0,M2017007487-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-19305.057798,-6827.106000000001,-18672.93770782152,-632.1200901784832,12477.951798000002,11845.831707821519,2017
32,1,In,Assessed,0.0,M2017007487-0,490-00,Tennis Courts,OUTDOOR RECREATIONAL,Other,court,232555.992,98592.0,224941.2354852686,7614.756514731387,-133963.992,-126349.23548526861,2017
33,1,In,Assessed,0.0,M2017007487-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-27239.377284,-26073.852,-26347.457777447074,-891.9195065529238,1165.5252839999994,273.6057774470755,2017
34,1,In,Assessed,0.0,M2017007500-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-4332.099,-4769.0,-4190.248923330541,-141.85007666945876,-436.90099999999984,-578.7510766694586,2017
35,1,In,Assessed,0.0,M2017007500-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,60835.67999999999,73960.0,58843.67892333054,1992.001076669454,13124.320000000007,15116.321076669461,2017
36,1,In,Assessed,0.0,M2017008252-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-24334.271999999997,-29584.0,0.0,-24334.271999999997,-5249.728000000003,-29584.0,2017
37,1,In,Assessed,0.0,M2017008252-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,78386.700384,74852.064,0.0,78386.700384,-3534.6363839999976,74852.064,2017
38,1,In,Assessed,0.0,M2017008252-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,357092.98128,86040.48000000001,0.0,357092.98128,-271052.50127999997,86040.48000000001,2017
