,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_RFc_RFa,DIFF_MFc_RFc,DIFF_MFc_RFa,YEAR
0,1,In,Assessed,0.0,C2019158764-0,610-00,Hospital,HOSPITALS,Other,sq. ft.,1391623.22376,797334.7679999999,1348029.3599999999,43593.863760000095,-594288.45576,-550694.592,2019
1,1,In,Assessed,0.0,M2015015021-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1657971.48,1838864.0,1238284.7203114738,419686.75968852616,180892.52000000002,600579.2796885262,2019
2,1,In,Assessed,0.0,M2015015021-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,111915.23199999999,109811.0,83585.82968852618,28329.40231147381,-2104.231999999989,26225.17031147382,2019
3,1,In,Assessed,0.0,M2016004278-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,0.0,0.0,0.0,0.0,0.0,2019
4,1,In,Assessed,0.0,M2017003195-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-306947.47978399997,-101815.582,0.0,-306947.47978399997,205131.89778399997,-101815.582,2019
5,1,In,Assessed,0.0,M2017003195-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,83586.465864,74865.546,0.0,83586.465864,-8720.919863999996,74865.546,2019
6,1,In,Assessed,0.0,M2017003195-0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,749310.9446239999,517009.672,0.0,749310.9446239999,-232301.27262399986,517009.672,2019
7,1,In,Assessed,0.0,M2017003622-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-12242.73767992,-10991.860340000001,0.0,-12242.73767992,1250.8773399199981,-10991.860340000001,2019
8,1,In,Assessed,0.0,M2017003622-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,12242.56,3536.0,0.0,12242.56,-8706.56,3536.0,2019
9,1,In,Assessed,0.0,M2017004158-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-18363.5606352,-16487.3004,0.0,-18363.5606352,1876.2602351999994,-16487.3004,2019
10,1,In,Assessed,0.0,M2017004158-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,18363.84,5304.0,0.0,18363.84,-13059.84,5304.0,2019
11,1,In,Assessed,0.0,M2017004630-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,116807.30688,104620.31999999999,105972.89,10834.416880000004,-12186.986880000011,-1352.570000000007,2019
12,1,In,Assessed,0.0,M2017008171-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9237.271999999999,-9538.0,-8380.48267004184,-856.7893299581592,-300.728000000001,-1157.5173299581602,2019
13,1,In,Assessed,0.0,M2017008171-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,6485.951999999999,7396.0,5884.357236067446,601.5947639325532,910.0480000000007,1511.6427639325539,2019
14,1,In,Assessed,0.0,M2017008171-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,45053.68225599999,40450.412,40874.795433974396,4178.886822025597,-4603.270255999996,-424.38343397439894,2019
15,1,In,Assessed,0.0,M2018001805-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-25943.807999999997,-29584.0,-24334.270229044272,-1609.5377709557251,-3640.1920000000027,-5249.729770955728,2019
16,1,In,Assessed,0.0,M2018001805-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,202686.0,224800.0,190111.4861644084,12574.513835591613,22114.0,34688.51383559161,2019
17,1,In,Assessed,0.0,M2018001805-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-8315.643291999999,-7466.009,-7799.745935364126,-515.8973566358727,849.6342919999988,333.7369353641261,2019
18,1,In,Assessed,0.0,M2018003739-0,710-02,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,1571025.8575439998,1844302.473,3968571.4351192834,-2397545.5775752836,273276.6154560002,-2124268.962119283,2019
19,1,In,Assessed,0.0,M2018003739-0,820-06,"Shopping Center/General Retail [400,001-500,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,11498211.126116,2265757.442,29045653.202303633,-17547442.076187633,-9232453.684116,-26779895.76030363,2019
20,1,In,Assessed,0.0,M2018006308-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-43270.45896799999,-38849.386,-40585.916238474994,-2684.5427295249974,4421.072967999993,1736.5302384749957,2019
21,1,In,Assessed,0.0,M2018006308-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,155517.67924,35146.810000000005,145869.20623847502,9648.47300152498,-120370.86924,-110722.39623847502,2019
22,1,In,Assessed,0.0,M2018017001-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-25943.807999999997,-29584.0,-24334.276790597545,-1609.531209402452,-3640.1920000000027,-5249.723209402455,2019
23,1,In,Assessed,0.0,M2018017001-0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,307120.572,229806.0,288067.07971068256,19053.492289317423,-77314.57199999999,-58261.07971068256,2019
24,1,In,Assessed,0.0,M2018017001-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,54588.46799999999,49011.0,51201.84707991505,3386.6209200849407,-5577.4679999999935,-2190.8470799150527,2019
25,1,In,Assessed,0.0,M2019005547-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-18474.543999999998,-19076.0,-17895.761208713946,-578.7827912860521,-601.456000000002,-1180.238791286054,2019
26,1,In,Assessed,0.0,M2019005547-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-139528.124208,-125272.116,-135156.89441244924,-4371.229795550753,14256.008208,9884.778412449246,2019
27,1,In,Assessed,0.0,M2019005547-0,850-00,Supermarket (free standing),SUPERMARKETS,Commercial/Retail,sq. ft.,675807.099528,436326.726,654634.9656211633,21172.133906836738,-239480.37352799997,-218308.23962116323,2019
28,1,In,Assessed,0.0,M2019005937-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9237.271999999999,-9538.0,-8947.897780358455,-289.3742196415442,-300.728000000001,-590.1022196415452,2019
29,1,In,Assessed,0.0,M2019005937-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,93349.51999999999,26962.0,90425.17778035846,2924.342219641534,-66387.51999999999,-63463.177780358455,2019
30,1,In,Assessed,0.0,M2019006608-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1179414.368,1157239.0,1142466.3412260432,36948.02677395684,-22175.368000000017,14772.65877395682,2019
31,1,In,Assessed,0.0,M2019006608-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,250503.50529600002,224367.444,242655.87305429528,7847.632241704734,-26136.06129600003,-18288.429054295295,2019
32,1,In,Assessed,0.0,M2019006608-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,124079.587764,111402.003,120192.49256218388,3887.095201816119,-12677.584764,-8790.48956218388,2019
33,1,In,Assessed,0.0,M2019006608-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,-162997.38686,-36837.215000000004,-157891.0968425222,-5106.29001747779,126160.17186,121053.88184252221,2019
34,1,In,Assessed,0.0,M2019006923-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-2633.869568,-873.6640000000001,-2551.353378032428,-82.51618996757225,1760.2055679999999,1677.6893780324276,2019
35,1,In,Assessed,0.0,M2019006923-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,9898.708863999998,8887.328,9588.593378032427,310.11548596757166,-1011.3808639999988,-701.2653780324272,2019
36,1,In,Assessed,0.0,M2019006955-0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,46749.648,65892.0,45285.14,1464.5080000000016,19142.352,20606.86,2019
37,1,In,Assessed,0.0,M2019007810-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,142690.944,162712.0,138220.9,4470.043999999994,20021.05600000001,24491.100000000006,2019
38,1,In,Assessed,0.0,M2019007823-1,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-6768.970031999999,-6077.364,-6556.926951877097,-212.0430801229022,691.6060319999997,479.5629518770975,2019
39,1,In,Assessed,0.0,M2019007823-1,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,18674.16936,4220.34,18089.1869518771,584.9824081229017,-14453.82936,-13868.846951877098,2019
40,1,In,Assessed,0.0,M2019007823-2,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-6768.970031999999,-6077.364,-6556.926951877097,-212.0430801229022,691.6060319999997,479.5629518770975,2019
41,1,In,Assessed,0.0,M2019007823-2,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,18674.16936,4220.34,18089.1869518771,584.9824081229017,-14453.82936,-13868.846951877098,2019
42,1,In,Assessed,0.0,M2019007966-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-56296.305120000005,-50422.68,-54532.917576385335,-1763.38754361467,5873.625120000004,4110.237576385334,2019
43,1,In,Assessed,0.0,M2019007966-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,68053.62344,61100.38,65921.95757638534,2131.6658636146603,-6953.243439999998,-4821.577576385338,2019
44,1,In,Assessed,0.0,M2019008026-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,116747.136,133128.0,113089.83000000002,3657.3059999999823,16380.864000000001,20038.169999999984,2019
45,1,In,Assessed,0.0,M2019008809-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-52578.340584,-47092.626,-50931.301272870434,-1647.0393111295634,5485.714584000001,3838.6752728704378,2019
46,1,In,Assessed,0.0,M2019008809-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,175346.43434,39628.085,169853.63127287044,5492.803067129571,-135718.34934000002,-130225.54627287044,2019
47,1,In,Assessed,0.0,M2019008920-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,45401.66399999999,51772.0,43979.380000000005,1422.283999999985,6370.33600000001,7792.619999999995,2019
48,1,In,Assessed,0.0,M2019009140-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-3519.895544,-1167.5620000000001,-3409.6113392857137,-110.28420471428626,2352.333544,2242.0493392857134,2019
49,1,In,Assessed,0.0,M2019009140-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,10943.158776,9801.413999999999,10600.291339285714,342.86743671428667,-1141.7447760000014,-798.8773392857147,2019
50,1,In,Assessed,0.0,M2019009634-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-65506.16159999999,-58813.2,-63454.13399328518,-2052.027606714815,6692.961599999995,4640.93399328518,2019
51,1,In,Assessed,0.0,M2019009634-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,180717.76799999998,40842.0,175056.65399328517,5661.114006714808,-139875.76799999998,-134214.65399328517,2019
52,1,In,Assessed,0.0,M2019009744-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,38915.712,44376.0,37696.61,1219.101999999999,5460.2880000000005,6679.389999999999,2019
53,1,In,Assessed,0.0,M2019010204-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9237.271999999999,-9538.0,-16425.98472622479,7188.7127262247905,-300.728000000001,6887.9847262247895,2019
54,1,In,Assessed,0.0,M2019010204-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,8107.44,6952.0,14416.884726224791,-6309.444726224791,-1155.4399999999996,-7464.884726224791,2019
55,1,In,Assessed,0.0,M2019010401-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9237.271999999999,-9538.0,-8947.895788345351,-289.3762116546477,-300.728000000001,-590.1042116546487,2019
56,1,In,Assessed,0.0,M2019010401-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,25943.807999999997,29584.0,25131.06578834535,812.7422116546477,3640.1920000000027,4452.93421165465,2019
57,1,In,Assessed,0.0,M2019010464-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,103775.232,118336.0,100524.29,3250.94200000001,14560.767999999996,17811.710000000006,2019
58,1,In,Assessed,0.0,M2019010476-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,58373.567999999985,66564.0,56544.91,1828.6579999999813,8190.432000000015,10019.089999999997,2019
59,1,In,Assessed,0.0,M2019010619-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-13421.114784,-4451.832,-13000.614346301018,-420.50043769898184,8969.282783999999,8548.782346301017,2019
60,1,In,Assessed,0.0,M2019010619-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,41725.496736,37372.104,40418.184346301015,1307.3123896989855,-4353.392736000002,-3046.080346301016,2019
61,1,In,Assessed,0.0,M2019010771-0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-134942.28264,-131188.68,-130715.01779904305,-4227.264840956937,3753.6026399999973,-473.66220095694007,2019
62,1,In,Assessed,0.0,M2019010771-0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,491941.48608,573706.26,476530.69779904303,15410.788280956971,81764.77392,97175.56220095698,2019
63,1,In,Assessed,0.0,M2019010990-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,65362.572,21681.0,63315.0,2047.5720000000001,-43681.572,-41634.0,2019
64,1,In,Assessed,0.0,M2019011035-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9237.271999999999,-9538.0,-8947.89783559818,-289.37416440181914,-300.728000000001,-590.1021644018201,2019
65,1,In,Assessed,0.0,M2019011035-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,121611.59999999999,134880.0,117801.89783559817,3809.702164401824,13268.400000000009,17078.102164401833,2019
66,1,In,Assessed,0.0,M2019011310-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-17741.252099999998,-15928.574999999999,-17185.49320174992,-555.7588982500783,1812.677099999999,1256.9182017499206,2019
67,1,In,Assessed,0.0,M2019011310-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,48944.3955,11061.375,47411.173201749916,1533.2222982500825,-37883.0205,-36349.798201749916,2019
68,1,In,Assessed,0.0,M2019011525-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,33934.032,35526.0,28793.192609682297,5140.839390317702,1591.9680000000008,6732.807390317703,2019
69,1,In,Assessed,0.0,M2019011525-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-8107.44,-6952.0,-6879.202609682298,-1228.2373903177013,1155.4399999999996,-72.79739031770168,2019
70,1,In,Assessed,0.0,M2019011535-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,25943.807999999997,29584.0,16368.150588235294,9575.657411764703,3640.1920000000027,13215.849411764706,2019
71,1,In,Assessed,0.0,M2019011535-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-12161.16,-10428.0,-7672.570588235295,-4488.589411764705,1733.1599999999999,-2755.429411764705,2019
72,1,In,Assessed,0.0,M2019011569-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9237.271999999999,-9538.0,-8947.89450015884,-289.3774998411591,-300.728000000001,-590.10549984116,2019
73,1,In,Assessed,0.0,M2019011569-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-45401.664,-51772.0,-43979.35879810183,-1422.305201898169,-6370.336000000003,-7792.641201898172,2019
74,1,In,Assessed,0.0,M2019011569-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,145933.91999999998,161856.0,141362.22470818443,4571.695291815558,15922.080000000016,20493.775291815575,2019
75,1,In,Assessed,0.0,M2019011569-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,20652.637059999997,18542.495,20005.64859007623,646.9884699237664,-2110.1420599999983,-1463.153590076232,2019
76,1,In,Assessed,0.0,M2019011615-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,77831.424,88752.0,75393.192047726,2438.231952274,10920.576000000001,13358.807952274,2019
77,1,In,Assessed,0.0,M2019011615-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,23291.07968,20911.36,22561.43795227399,729.641727726008,-2379.7196799999983,-1650.0779522739904,2019
78,1,In,Assessed,0.0,M2019012308-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-38118.483656,-12644.038,-36924.35111857107,-1194.13253742893,25474.445655999996,24280.313118571066,2019
79,1,In,Assessed,0.0,M2019012308-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,229548.0,66300.0,222356.98111857107,7191.018881428929,-163248.0,-156056.98111857107,2019
80,1,In,Assessed,0.0,M2019012415-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-8107.44,-6952.0,-7629.465373913044,-477.97462608695605,1155.4399999999996,677.4653739130435,2019
81,1,In,Assessed,0.0,M2019012415-0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,120439.44,90120.0,113338.92537391305,7100.5146260869515,-30319.440000000002,-23218.92537391305,2019
82,1,In,Assessed,0.0,M2019012840-0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-2474.664192,-2885.9739999999997,-2397.1411070140675,-77.52308498593266,-411.3098079999995,-488.8328929859322,2019
83,1,In,Assessed,0.0,M2019012840-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,15303.199999999999,4420.0,14823.801107014067,479.3988929859315,-10883.199999999999,-10403.801107014067,2019
84,1,In,Assessed,0.0,M2019012926-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,8107.44,6952.0,10957.0,-2849.5600000000004,-1155.4399999999996,-4005.0,2019
85,1,In,Assessed,0.0,M2019013682-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9237.271999999999,-9538.0,-8947.87032635627,-289.40167364372974,-300.728000000001,-590.1296736437307,2019
86,1,In,Assessed,0.0,M2019013682-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,118312.55568,105968.51999999999,114605.84967124992,3706.7060087500868,-12344.035680000015,-8637.329671249929,2019
87,1,In,Assessed,0.0,M2019013682-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,6022.927635999999,5407.547,5834.2306551063475,188.69698089365193,-615.3806359999999,-426.68365510634794,2019
88,1,In,Assessed,0.0,M2019013804-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-18474.543999999998,-19076.0,-17895.791576690703,-578.7524233092954,-601.456000000002,-1180.2084233092974,2019
89,1,In,Assessed,0.0,M2019013804-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,51887.615999999995,59168.0,50262.1315766907,1625.4844233092954,7280.3840000000055,8905.8684233093,2019
90,1,In,Assessed,0.0,M2019014107-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2019
91,1,In,Assessed,0.0,M2019014205-0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,42265.504336,41089.832,40941.568084220766,1323.9362517792324,-1175.672335999996,148.2639157792364,2019
92,1,In,Assessed,0.0,M2019014205-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-349563.928824,-313092.486,-338614.0924277435,-10949.83639625652,36471.44282400003,25521.606427743507,2019
93,1,In,Assessed,0.0,M2019014205-0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,923641.5558039999,938861.695,894709.1543435227,28932.40146047715,15220.139196000062,44152.54065647721,2019
94,1,In,Assessed,0.0,M2019014931-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-47419.18253599999,-42574.222,-45933.74016380099,-1485.4423721990024,4844.960535999991,3359.518163800989,2019
95,1,In,Assessed,0.0,M2019014931-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,130819.58428,29565.070000000003,126721.560163801,4098.024116198998,-101254.51427999999,-97156.49016380099,2019
96,1,In,Assessed,0.0,M2019015059-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9237.271999999999,-9538.0,-23655.114510022264,14417.842510022265,-300.728000000001,14117.114510022264,2019
97,1,In,Assessed,0.0,M2019015059-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,12161.16,10428.0,31142.704510022264,-18981.544510022264,-1733.1599999999999,-20714.704510022264,2019
98,1,In,Assessed,0.0,M2019015300-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,30661.918056,27462.834000000003,29701.29,960.6280559999977,-3199.084055999996,-2238.4559999999983,2019
99,1,In,Assessed,0.0,M2019015672-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-17807.669616,-5906.868,-17249.77282945264,-557.8967865473605,11900.801615999999,11342.904829452638,2019
100,1,In,Assessed,0.0,M2019015672-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,66925.461768,60087.486,64828.752829452635,2096.708938547359,-6837.975767999997,-4741.2668294526375,2019
101,1,In,Assessed,0.0,M2019016839-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-1279.46148,-1145.97,-1239.3816369110489,-40.079843088951066,133.4914799999999,93.41163691104884,2019
102,1,In,Assessed,0.0,M2019016839-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-15193.790259999998,-13641.395,-14717.836322295494,-475.9539377045039,1552.3952599999975,1076.4413222954936,2019
103,1,In,Assessed,0.0,M2019016839-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,46183.429599999996,10437.400000000001,44736.70795920655,1446.7216407934466,-35746.029599999994,-34299.30795920655,2019
104,1,In,Assessed,0.0,M2019017759-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-36949.087999999996,-38152.0,-35791.59212279757,-1157.4958772024256,-1202.912000000004,-2360.4078772024295,2019
105,1,In,Assessed,0.0,M2019017759-0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1240526.2319999998,928236.0,1201664.5421227976,38861.68987720227,-312290.23199999984,-273428.5421227976,2019
106,1,In,Assessed,0.0,M2019017930-0,933-00,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,108158.82549999999,50565.950000000004,104770.55,3388.275499999989,-57592.87549999999,-54204.6,2019
107,1,In,Assessed,0.0,M2019017935-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,12971.903999999995,14792.0,12565.529999999999,406.37399999999616,1820.096000000005,2226.470000000001,2019
108,1,In,Assessed,0.0,M2019017942-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2019
109,1,In,Assessed,0.0,M2019018508-0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-20457.66778,-19888.61,-19816.791812144078,-640.8759678559218,569.0577799999992,-71.81818785592259,2019
110,1,In,Assessed,0.0,M2019018508-0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,244706.216832,285378.429,237040.32181214404,7665.895019855961,40672.212168,48338.10718785596,2019
111,1,In,Assessed,0.0,M2019018609-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,38915.712,44376.0,33776.34947368421,5139.362526315788,5460.2880000000005,10599.650526315789,2019
