,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_RFc_RFa,DIFF_MFc_RFc,DIFF_MFc_RFa,YEAR
0,1,In,Assessed,0.0,M2018002913-0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,30366.828,266832.0,0.0,30366.828,236465.172,266832.0,2020
1,1,In,Assessed,0.0,M2018002913-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-30366.802029919996,-26388.82936,0.0,-30366.802029919996,3977.9726699199964,-26388.82936,2020
2,1,In,Assessed,0.0,M2018017001-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-26804.352,-29584.0,-24334.263964626487,-2470.088035373512,-2779.648000000001,-5249.736035373513,2020
3,1,In,Assessed,0.0,M2018017001-0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,304864.182,220794.0,276770.18560821505,28093.996391784924,-84070.18199999997,-55976.18560821505,2020
4,1,In,Assessed,0.0,M2018017001-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,155593.41,34035.0,141255.0883564115,14338.321643588512,-121558.41,-107220.08835641149,2020
5,1,In,Assessed,0.0,M2019000041-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,60309.792,66564.0,52940.79870967741,7368.993290322593,6254.207999999999,13623.201290322591,2020
6,1,In,Assessed,0.0,M2019000041-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-8376.36,-6952.0,-7352.888709677419,-1023.4712903225818,1424.3600000000006,400.8887096774188,2020
7,1,In,Assessed,0.0,M2019000041-1,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,20103.264,22188.0,369.57,19733.694,2084.736000000001,21818.43,2020
8,1,In,Assessed,0.0,M2019001349-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-80413.056,-88752.0,-75393.2109947478,-5019.845005252195,-8338.944000000003,-13358.789005252198,2020
9,1,In,Assessed,0.0,M2019001349-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,533664.96,506820.0,500350.52678241255,33314.433217587415,-26844.959999999963,6469.473217587452,2020
10,1,In,Assessed,0.0,M2019001349-0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,74660.616,54072.0,69999.87135280424,4660.744647195752,-20588.615999999995,-15927.871352804243,2020
11,1,In,Assessed,0.0,M2019001349-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,42167.758502,36643.890999999996,39535.40472229853,2632.353779701465,-5523.867502000001,-2891.513722298536,2020
12,1,In,Assessed,0.0,M2019001349-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,170582.24182999998,37313.705,159933.51813723237,10648.723692767613,-133268.53683,-122619.81313723237,2020
13,1,In,Assessed,0.0,M2019005158-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9543.668,-9538.0,-8931.965693054035,-611.7023069459647,5.667999999999665,-606.034306945965,2020
14,1,In,Assessed,0.0,M2019005158-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-80413.056,-88752.0,-75258.97353780884,-5154.08246219116,-8338.944000000003,-13493.026462191163,2020
15,1,In,Assessed,0.0,M2019005158-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-8376.36,-6952.0,-7839.47641018842,-536.8835898115804,1424.3600000000006,887.4764101884202,2020
16,1,In,Assessed,0.0,M2019005158-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1681044.6239999998,1596483.0,1573297.909154103,107746.71484589693,-84561.62399999984,23185.090845897095,2020
17,1,In,Assessed,0.0,M2019005158-0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,68438.898,49566.0,64052.30033215997,4386.597667840033,-18872.898,-14486.300332159968,2020
18,1,In,Assessed,0.0,M2019005158-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,58163.62728,50422.68,54435.624064934134,3728.0032150658662,-7740.94728,-4012.944064934134,2020
19,1,In,Assessed,0.0,M2019005158-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,149836.45382999998,32775.705,140232.6720898542,9603.781740145787,-117060.74882999998,-107456.9670898542,2020
20,1,In,Assessed,0.0,M2019006289-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,40206.528,44376.0,33776.34947368421,6430.178526315787,4169.472000000002,10599.650526315789,2020
21,1,In,Assessed,0.0,M2019006289-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-8376.36,-6952.0,-7036.739473684212,-1339.620526315789,1424.3600000000006,84.73947368421159,2020
22,1,In,Assessed,0.0,M2019013799-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9543.668,-9538.0,-8947.897742827357,-595.7702571726422,5.667999999999665,-590.1022571726426,2020
23,1,In,Assessed,0.0,M2019013799-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,83763.6,89920.0,78534.59774282736,5229.002257172644,6156.399999999994,11385.402257172638,2020
24,1,In,Assessed,0.0,M2019014210-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,0.0,0.0,0.0,0.0,0.0,0.0,2020
25,1,In,Assessed,0.0,M2019015670-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9543.668,-9538.0,-8947.876569999511,-595.7914300004886,5.667999999999665,-590.123430000489,2020
26,1,In,Assessed,0.0,M2019015670-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,74415.22902,64511.369999999995,69769.64037298926,4645.588647010736,-9903.859020000004,-5258.270372989267,2020
27,1,In,Assessed,0.0,M2019015670-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,83658.72729999998,72699.65,78436.08619701024,5222.641102989743,-10959.07729999999,-5736.436197010247,2020
28,1,In,Assessed,0.0,M2019015796-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-47187.282139999996,-41005.87,-44241.63401770271,-2945.648122297287,6181.412139999993,3235.764017702706,2020
29,1,In,Assessed,0.0,M2019015796-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,130179.8197,28475.95,122053.3940177027,8126.425682297297,-101703.8697,-93577.4440177027,2020
30,1,In,Assessed,0.0,M2019016260-1,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,335054.39999999997,369800.0,314138.4000000001,20915.999999999884,34745.600000000035,55661.59999999992,2020
31,1,In,Assessed,0.0,M2019016260-2,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,0.0,0.0,0.0,0.0,0.0,0.0,2020
32,1,In,Assessed,0.0,M2019016595-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-14626.631632,-4695.944,-13713.554153626703,-913.0774783732977,9930.687632000001,9017.610153626702,2020
33,1,In,Assessed,0.0,M2019016595-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,6335.503618,5505.5689999999995,5940.005473704604,395.49814429539583,-829.9346180000002,-434.4364737046044,2020
34,1,In,Assessed,0.0,M2019016595-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,134173.38389,29349.515000000003,125797.51867992211,8375.865210077885,-104823.86889,-96448.00367992211,2020
35,1,In,Assessed,0.0,M2019018004-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-120619.584,-133128.0,-750281.0598690697,629661.4758690697,-12508.415999999997,617153.0598690697,2020
36,1,In,Assessed,0.0,M2019018004-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-8376.36,-6952.0,-52102.85137979651,43726.49137979651,1424.3600000000006,45150.85137979651,2020
37,1,In,Assessed,0.0,M2019018004-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-51304.41950599999,-44583.673,-319125.0787511342,267820.6592451342,6720.746505999989,274541.4057511342,2020
38,1,In,Assessed,0.0,M2019018047-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1645954.7400000002,1766928.0,1538132.7263947178,107822.01360528241,120973.25999999978,228795.2736052822,2020
39,1,In,Assessed,0.0,M2019018047-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-12564.54,-10428.0,-11741.471193852807,-823.0688061471938,2136.540000000001,1313.4711938528071,2020
40,1,In,Assessed,0.0,M2019018047-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-51958.470252,-45043.362,-48554.81233220762,-3403.6579197923784,6915.108251999998,3511.45033220762,2020
41,1,In,Assessed,0.0,M2019018047-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-38088.220563999996,-33098.762,-35593.164936982816,-2495.05562701718,4989.458563999993,2494.402936982813,2020
42,1,In,Assessed,0.0,M2019018047-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,-32726.480570000014,-7158.694999999992,-30582.657931674272,-2143.8226383257424,25567.785570000022,23423.96293167428,2020
43,1,In,Assessed,0.0,M2019021111-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-25380.491904,-22002.624,-23796.15153902866,-1584.34036497134,3377.867903999999,1793.5275390286588,2020
44,1,In,Assessed,0.0,M2019021111-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,56918.88,15912.0,53365.80153902865,3553.0784609713446,-41006.88,-37453.80153902865,2020
45,1,In,Assessed,0.0,M2019021609-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-29045.558129999998,-25240.665,-27232.40400498525,-1813.1541250147493,3804.8931299999967,1991.7390049852474,2020
46,1,In,Assessed,0.0,M2019021609-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,80130.60614999999,17528.025,75128.49400498524,5002.1121450147475,-62602.58114999999,-57600.46900498524,2020
47,1,In,Assessed,0.0,M2020000362-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,0.0,0.0,0.0,0.0,0.0,0.0,2020
48,1,In,Assessed,0.0,M2020000973-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9543.668,-9538.0,-9237.271730668821,-306.3962693311787,5.667999999999665,-300.72826933117904,2020
49,1,In,Assessed,0.0,M2020000973-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,80413.056,88752.0,77831.42173066884,2581.63426933116,8338.944000000003,10920.578269331163,2020
50,1,In,Assessed,0.0,M2020001128-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9543.668,-9538.0,-9237.337171249614,-306.330828750386,5.667999999999665,-300.6628287503863,2020
51,1,In,Assessed,0.0,M2020001128-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-341755.488,-377196.0,-330785.885760166,-10969.602239834028,-35440.51199999999,-46410.114239834016,2020
52,1,In,Assessed,0.0,M2020001128-0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,650383.219008,734131.529,629507.3429314155,20875.87607658445,83748.309992,104624.18606858444,2020
53,1,In,Assessed,0.0,M2020002780-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-71645.710054,-62260.307,-69345.53374534649,-2300.1763086535066,9385.403053999995,7085.226745346488,2020
54,1,In,Assessed,0.0,M2020002780-0,931-00,Quality Restaurant,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,259327.086512,113400.116,251001.42374534652,8325.662766653491,-145926.97051200003,-137601.3077453465,2020
55,1,In,Assessed,0.0,M2020002787-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,53608.704,59168.0,48090.40592592593,5518.298074074068,5559.296000000002,11077.59407407407,2020
56,1,In,Assessed,0.0,M2020002787-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-8376.36,-6952.0,-7514.125925925927,-862.2340740740738,1424.3600000000006,562.1259259259268,2020
57,1,In,Assessed,0.0,M2020003064-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9543.668,-9538.0,-9076.322259446824,-467.34574055317535,5.667999999999665,-461.6777405531757,2020
58,1,In,Assessed,0.0,M2020003064-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,406253.46,436112.0,386359.55504479934,19893.904955200676,29858.53999999998,49752.444955200655,2020
59,1,In,Assessed,0.0,M2020003064-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-16752.72,-13904.0,-15932.35278535255,-820.367214647451,2848.720000000001,2028.3527853525502,2020
60,1,In,Assessed,0.0,M2020003973-0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,386388.9934086,2092914.2241,0.0,386388.9934086,1706525.2306914,2092914.2241,2020
61,1,In,Assessed,0.0,M2020003973-0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,100763.896944,42741.708,0.0,100763.896944,-58022.188943999994,42741.708,2020
62,1,In,Assessed,0.0,M2020004408-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1449789.808,1376861.0,1403244.0463874226,46545.761612577364,-72928.80799999996,-26383.046387422597,2020
63,1,In,Assessed,0.0,M2020004408-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-672847.41558,-583298.73,-651245.5287172215,-21601.88686277857,89548.68558000005,67946.79871722148,2020
64,1,In,Assessed,0.0,M2020004408-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,180243.12,50388.0,174456.38232979891,5786.737670201081,-129855.12,-124068.38232979891,2020
65,1,In,Assessed,0.0,M2020005227-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-7163.247776,-2299.792,-6933.274128899058,-229.9736471009419,4863.455776000001,4633.482128899059,2020
66,1,In,Assessed,0.0,M2020005227-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,6335.503618,5505.5689999999995,6132.104417132727,203.39920086727307,-829.9346180000002,-626.5354171327272,2020
67,1,In,Assessed,0.0,M2020005227-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,56791.59465,12422.775000000001,54968.31971176634,1823.2749382336624,-44368.81965,-42545.544711766335,2020
68,1,In,Assessed,0.0,M2020005260-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,6701.088,7396.0,6485.950000000001,215.137999999999,694.9120000000003,910.0499999999993,2020
69,1,In,Assessed,0.0,M2020005373-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-38174.672,-38152.0,-36949.135105645015,-1225.5368943549838,22.67199999999866,-1202.8648943549852,2020
70,1,In,Assessed,0.0,M2020005373-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-53608.704,-59168.0,-51887.68215047224,-1721.0218495277586,-5559.296000000002,-7280.317849527761,2020
71,1,In,Assessed,0.0,M2020005373-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,167527.2,179840.0,162149.00672022576,5378.193279774248,12312.799999999988,17690.993279774237,2020
72,1,In,Assessed,0.0,M2020005373-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,688756.878336,597090.816,666645.4384357035,22111.439900296507,-91666.06233600003,-69554.62243570352,2020
73,1,In,Assessed,0.0,M2020005373-0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,221847.026688,250413.74399999998,214724.98210018803,7122.044587811979,28566.717311999964,35688.76189981194,2020
74,1,In,Assessed,0.0,M2020005374-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-127320.67199999999,-140524.0,-123233.25641434742,-4087.415585652576,-13203.328000000009,-17290.743585652584,2020
75,1,In,Assessed,0.0,M2020005374-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,469076.16000000003,503552.0,454017.2604739116,15058.89952608844,34475.83999999997,49534.73952608841,2020
76,1,In,Assessed,0.0,M2020005374-0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,253328.738112,285949.28099999996,245196.04594043584,8132.692171564151,32620.542887999967,40753.23505956412,2020
77,1,In,Assessed,0.0,M2020005984-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-4497.038932,-1443.794,-4352.661058199498,-144.37787380050213,3053.2449320000005,2908.8670581994984,2020
78,1,In,Assessed,0.0,M2020005984-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-27184.386443999996,-23623.302,-26311.629064154407,-872.7573798455887,3561.0844439999964,2688.3270641544077,2020
79,1,In,Assessed,0.0,M2020005984-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,121622.18214999998,26604.025000000005,117717.4901223539,3904.6920276460733,-95018.15714999997,-91113.4651223539,2020
80,1,In,Assessed,0.0,M2020006001-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,40206.528,44376.0,38915.71000000001,1290.817999999992,4169.472000000002,5460.289999999994,2020
81,1,In,Assessed,0.0,M2020006164-0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,48300.31199999999,65892.0,46749.640000000014,1550.6719999999768,17591.68800000001,19142.359999999986,2020
82,1,In,Assessed,0.0,M2020006533-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,87867.5118,76173.3,85046.71310742464,2820.7986925753503,-11694.21179999999,-8873.41310742464,2020
83,1,In,Assessed,0.0,M2020006533-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,31245.124667999997,27152.094,30242.06671168208,1003.0579563179163,-4093.030667999996,-3089.9727116820795,2020
84,1,In,Assessed,0.0,M2020006533-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,-55028.20267,-12037.045,-53261.63981910671,-1766.562850893286,42991.15767,41224.594819106715,2020
85,1,In,Assessed,0.0,M2020006816-0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,-2863.988496,-2817.72,-2772.078407780313,-91.91008821968717,46.26849600000014,-45.64159221968703,2020
86,1,In,Assessed,0.0,M2020006816-0,890-00,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,36313.084859999995,2396886.726,35147.738407780314,1165.346452219681,2360573.64114,2361738.9875922194,2020
87,1,In,Assessed,0.0,M2020007233-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-23296.554455999998,-20196.036,-22548.636386363436,-747.918069636562,3100.518455999998,2352.600386363436,2020
88,1,In,Assessed,0.0,M2020007233-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,3647.144516,3169.378,3530.0557297056916,117.08878629430819,-477.7665159999997,-360.6777297056915,2020
89,1,In,Assessed,0.0,M2020007233-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,114205.56293999999,24981.690000000002,110539.08065665774,3666.4822833422513,-89223.87293999999,-85557.39065665774,2020
90,1,In,Assessed,0.0,M2020007234-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-9543.668,-9538.0,-9076.322259446824,-467.34574055317535,5.667999999999665,-461.6777405531757,2020
91,1,In,Assessed,0.0,M2020007234-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,406253.46,436112.0,386359.55504479934,19893.904955200676,29858.53999999998,49752.444955200655,2020
92,1,In,Assessed,0.0,M2020007234-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-16752.72,-13904.0,-15932.35278535255,-820.367214647451,2848.720000000001,2028.3527853525502,2020
93,1,In,Assessed,0.0,M2020007445-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,0.0,0.0,0.0,0.0,0.0,2020
94,1,In,Assessed,0.0,M2020007671-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,4771.834,4769.0,4618.63,153.20399999999972,-2.8339999999998327,150.3699999999999,2020
95,1,In,Assessed,0.0,M2020007735-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-49010.854397999996,-42590.558999999994,-47437.27125862448,-1573.5831393755143,6420.295398000002,4846.712258624488,2020
96,1,In,Assessed,0.0,M2020007735-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,104351.27999999998,29172.0,101000.89125862448,3350.3887413755,-75179.27999999998,-71828.89125862448,2020
97,1,In,Assessed,0.0,M2020008272-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-26804.352,-29584.0,-25943.80765027322,-860.5443497267806,-2779.648000000001,-3640.1923497267817,2020
98,1,In,Assessed,0.0,M2020008272-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,180091.74000000002,193328.0,174309.95765027322,5781.782349726796,13236.25999999998,19018.042349726777,2020
99,1,In,Assessed,0.0,M2020008384-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,4771.834,4769.0,4618.63,153.20399999999972,-2.8339999999998327,150.3699999999999,2020
100,1,In,Assessed,0.0,M2020008588-1,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,293117.77692564,254106.98333999998,283707.56,9410.216925640008,-39010.79358564003,-29600.57666000002,2020
101,1,In,Assessed,0.0,M2020008627-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-69314.545518,-60234.519,-67089.17776986469,-2225.367748135308,9080.026517999999,6854.658769864691,2020
102,1,In,Assessed,0.0,M2020008627-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,191224.30088999998,41829.015,185084.9777698647,6139.32312013529,-149395.28589,-143255.9627698647,2020
103,1,In,Assessed,0.0,M2020008703-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2020
