,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_RFc_RFa,DIFF_MFc_RFc,DIFF_MFc_RFa,YEAR
1211,2,Out,Collected,0.0,M2018005784-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-72936.921802,-70110.134,-70624.2898533028,-2312.6319486971915,2826.7878019999916,514.1558533028001,2018
1212,2,Out,Collected,0.0,M2018005784-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,131931.81999999998,40762.0,127748.6198533028,4183.200146697185,-91169.81999999998,-86986.6198533028,2018
1213,2,Out,Collected,0.0,M2018005785-0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,46732.5026,17780.280000000002,47858.21646725441,-1125.7138672544097,-28952.222599999997,-30077.936467254407,2018
1214,2,Out,Collected,0.0,M2018005785-0,912-00,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,-32828.762248,-14562.896,-33619.556467254406,790.7942192544069,18265.866248,19056.660467254405,2018
1215,2,Out,Collected,0.0,M2018006043-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1216,2,Out,Collected,0.0,M2018006161-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1217,2,Out,Collected,0.0,M2018006365-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,7853.46,6598.0,10609.6,-2756.1400000000003,-1255.46,-4011.6000000000004,2018
1218,2,Out,Collected,0.0,M2018006390-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1219,2,Out,Collected,0.0,M2018006534-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-8947.898,-9053.0,-311.82472622478406,-8636.073273775215,-105.10200000000077,-8741.175273775216,2018
1220,2,Out,Collected,0.0,M2018006534-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,7853.46,6598.0,273.6847262247841,7579.775273775216,-1255.46,6324.315273775216,2018
1221,2,Out,Collected,0.0,M2018006560-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-10425.37353,-9997.845000000001,-10680.494634904207,255.12110490420673,427.5285299999996,682.6496349042063,2018
1222,2,Out,Collected,0.0,M2018006560-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,12602.682234999998,12114.245,12911.084634904206,-308.4023999042074,-488.4372349999976,-796.839634904205,2018
1223,2,Out,Collected,0.0,M2018006568-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-211919.411028,-203228.92200000002,-205201.2473264788,-6718.163701521204,8690.489027999982,1972.3253264787782,2018
1224,2,Out,Collected,0.0,M2018006568-0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,147898.326816,184672.13400000002,143209.72766450606,4688.599151493923,36773.807184000034,41462.40633549396,2018
1225,2,Out,Collected,0.0,M2018006568-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,160711.557475,38886.63,155616.75966197273,5094.797813027282,-121824.927475,-116730.12966197272,2018
1226,2,Out,Collected,0.0,M2018006666-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1227,2,Out,Collected,0.0,M2018006745-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1228,2,Out,Collected,0.0,M2018006747-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1229,2,Out,Collected,0.0,M2018006753-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1230,2,Out,Collected,0.0,M2018006759-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-10352.46882,-9927.93,-10024.278841705218,-328.1899782947821,424.53881999999976,96.34884170521764,2018
1231,2,Out,Collected,0.0,M2018006759-0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,23904.954500000003,9095.1,23147.12884170522,757.8256582947834,-14809.854500000003,-14052.02884170522,2018
1232,2,Out,Collected,0.0,M2018006959-0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,16643.645384,7809.576,17045.130711082642,-401.48532708264247,-8834.069383999999,-9235.554711082641,2018
1233,2,Out,Collected,0.0,M2018006959-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-9800.127724,-9420.308,-10036.530711082642,236.40298708264163,379.81972399999904,616.2227110826407,2018
1234,2,Out,Collected,0.0,M2018007032-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,8947.898,9053.0,169.89,8778.008,105.10200000000077,8883.11,2018
1235,2,Out,Collected,0.0,M2018007058-0,710-06,"General Office Building [400,001-500,000]","OFFICE, MULTI-STORY",Office,sq. ft.,-3021.700739,-4705.307,-2885.446554653109,-136.25418434689072,-1683.606261,-1819.8604453468906,2018
1236,2,Out,Collected,0.0,M2018007058-0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,12356.50465,4701.27,11799.326554653111,557.1780953468897,-7655.23465,-7098.056554653111,2018
1237,2,Out,Collected,0.0,M2018007124-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1238,2,Out,Collected,0.0,M2018007273-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,8947.898,9053.0,8664.199999999999,283.6980000000003,105.10200000000077,388.8000000000011,2018
1239,2,Out,Collected,0.0,M2018007281-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-8947.898,-9053.0,-15905.18674351586,6957.288743515861,-105.10200000000077,6852.18674351586,2018
1240,2,Out,Collected,0.0,M2018007281-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,7853.46,6598.0,13959.78674351586,-6106.3267435158605,-1255.46,-7361.7867435158605,2018
1241,2,Out,Collected,0.0,M2018007308-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1242,2,Out,Collected,0.0,M2018007351-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1243,2,Out,Collected,0.0,M2018007404-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1244,2,Out,Collected,0.0,M2018007497-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,7853.46,6598.0,10609.6,-2756.1400000000003,-1255.46,-4011.6000000000004,2018
1245,2,Out,Collected,0.0,M2018007499-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,10956.996,11240.0,10609.6,347.3959999999988,283.0040000000008,630.3999999999996,2018
1246,2,Out,Collected,0.0,M2018007665-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
